rij_nummer;deal_titel;bedrijfsnaam;functietitel;voornaam;achternaam;email;telefoon;functie_contact;website;stad;provincie;postcode;vacature_url;datum_gevonden;via_bemiddelaar
1;ASML -  (Veldhoven);ASML;Recruitment Manager tester;Sander;de Jong;warts+test1@recruitin.nl;612345001;HR Director;61.724;Veldhoven;Noord-Brabant;5900AA;https://testproductie.nl/jobs/recruitment-manager;2025-11-21;
2;Philips -  (Eindhoven);Philips;Senior Software Engineer 123;Emma;Jansen;warts+test2@recruitin.nl;612345002;Technical Recruiter;54.315;Eindhoven;Noord-Brabant;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-21;
3;TomTom -  (Amsterdam);TomTom;Operations Manager specs;Daan;de Vries;warts+test3@recruitin.nl;612345003;HR Business Partner;54.697;Amsterdam;Noord-Holland;5656AE;https://www.philips.com/careers/operations-manager;2025-11-21;
4;Booking.com -  (Amsterdam);Booking.com;DevOps Engineer;Sophie;van den Berg;warts+test4@recruitin.nl;612345004;Technical Lead;51.214;Amsterdam;Noord-Holland;3511AA;https://www.randomit.nl/jobs/devops;2025-11-21;
5;Adyen -  (Amsterdam);Adyen;DevOps Engineer;Lars;van Dijk;warts+test5@recruitin.nl;612345005;Technical Lead;51.214;Amsterdam;Noord-Holland;3511AA;https://www.randomit.nl/jobs/devops;2025-11-21;
6;Exact Software -  (Delft);Exact Software;Senior Software Engineer;Julia;Bakker;warts+test6@recruitin.nl;612345006;Technical Recruiter;54.315;Delft;Zuid-Holland;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-21;
7;MessageBird -  (Amsterdam);MessageBird;Operations Manager;Bram;Visser;warts+test7@recruitin.nl;612345007;HR Business Partner;54.697;Amsterdam;Noord-Holland;5656AE;https://www.philips.com/careers/operations-manager;2025-11-21;
8;Mollie -  (Amsterdam);Mollie;Operations Manager;Lisa;Smit;warts+test8@recruitin.nl;612345008;HR Business Partner;54.697;Amsterdam;Noord-Holland;5656AE;https://www.philips.com/careers/operations-manager;2025-11-21;
9;Elastic -  (Amsterdam);Elastic;Recruitment Manager tester;Thijs;Meijer;warts+test9@recruitin.nl;612345009;HR Director;61.724;Amsterdam;Noord-Holland;5900AA;https://testproductie.nl/jobs/recruitment-manager;2025-11-21;
10;Optiver -  (Amsterdam);Optiver;Senior Software Engineer 123;Anna;de Boer;warts+test10@recruitin.nl;612345010;Technical Recruiter;54.315;Amsterdam;Noord-Holland;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-21;
11;IMC Trading -  (Amsterdam);IMC Trading;Operations Manager specs;Luuk;Mulder;warts+test11@recruitin.nl;612345011;HR Business Partner;54.697;Amsterdam;Noord-Holland;5656AE;https://www.philips.com/careers/operations-manager;2025-11-21;
12;Cisco Systems -  (Amsterdam);Cisco Systems;Recruitment Manager;Eva;de Groot;warts+test12@recruitin.nl;612345012;HR Director;61.724;Amsterdam;Noord-Holland;5900AA;https://testproductie.nl/jobs/recruitment-manager;2025-11-21;
13;IBM Nederland -  (Amsterdam);IBM Nederland;Senior Software Engineer;Finn;Bos;warts+test13@recruitin.nl;612345013;Technical Recruiter;54.315;Amsterdam;Noord-Holland;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-21;
14;Oracle Nederland -  (Utrecht);Oracle Nederland;Operations Manager;Fleur;Vos;warts+test14@recruitin.nl;612345014;HR Business Partner;54.697;Utrecht;Utrecht;5656AE;https://www.philips.com/careers/operations-manager;2025-11-21;
15;SAP Nederland -  (Den Bosch);SAP Nederland;DevOps Engineer;Sem;Peters;warts+test15@recruitin.nl;612345015;Technical Lead;51.214;Den Bosch;Noord-Brabant;3511AA;https://www.randomit.nl/jobs/devops;2025-11-21;
16;Cognizant -  (Amsterdam);Cognizant;DevOps Engineer;Lotte;Hendriks;warts+test16@recruitin.nl;612345016;Technical Lead;51.214;Amsterdam;Noord-Holland;3511AA;https://www.randomit.nl/jobs/devops;2025-11-21;
17;Capgemini -  (Utrecht);Capgemini;Senior Software Engineer;Milan;van Leeuwen;warts+test17@recruitin.nl;612345017;Technical Recruiter;54.315;Utrecht;Utrecht;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-21;
18;Atos -  (Eindhoven);Atos;Operations Manager;Isa;Dekker;warts+test18@recruitin.nl;612345018;HR Business Partner;54.697;Eindhoven;Noord-Brabant;5656AE;https://www.philips.com/careers/operations-manager;2025-11-21;
19;CGI Nederland -  (Rotterdam);CGI Nederland;Operations Manager;Stijn;Brouwer;warts+test19@recruitin.nl;612345019;HR Business Partner;54.697;Rotterdam;Zuid-Holland;5656AE;https://www.philips.com/careers/operations-manager;2025-11-21;
20;Accenture -  (Amsterdam);Accenture;Recruitment Manager tester;Noa;de Wit;warts+test20@recruitin.nl;612345020;HR Director;61.724;Amsterdam;Noord-Holland;5900AA;https://testproductie.nl/jobs/recruitment-manager;2025-11-21;
21;ASML - Senior Software Engineer 123 (Veldhoven);DAF Trucks;Production Manager;Ruben;Dijkstra;warts+test21@recruitin.nl;612345021;Technical Recruiter;54.315;Eindhoven;Noord-Brabant;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-21;
22;Philips - Operations Manager specs (Eindhoven);VDL Groep;Automation Engineer;Mila;Smits;warts+test22@recruitin.nl;612345022;HR Business Partner;54.697;Eindhoven;Noord-Brabant;5656AE;https://www.philips.com/careers/operations-manager;2025-11-21;
23;Random IT BV - DevOps Engineer (Utrecht);Vanderlande;Logistics Systems Engineer;Jesse;de Graaf;warts+test23@recruitin.nl;612345023;Technical Lead;51.214;Veghel;Noord-Brabant;3511AA;https://www.randomit.nl/jobs/devops;2025-11-21;
24;Random IT BV - DevOps Engineer (Utrecht);NXP Semiconductors;Chip Design Engineer;Sara;van der Meer;warts+test24@recruitin.nl;612345024;Technical Lead;51.214;Nijmegen;Gelderland;3511AA;https://www.randomit.nl/jobs/devops;2025-11-21;
25;ASML - Senior Software Engineer (Veldhoven);Thales Nederland;Defense Systems Engineer;Tim;van der Linden;warts+test25@recruitin.nl;612345025;Technical Recruiter;54.315;Hengelo;Overijssel;5504DR;https://www.asml.com/careers/senior-software-engineer;2025-11-21;
26;Random IT BV - DevOps Engineer (Utrecht);FEI Company;Electron Microscopy Specialist;Evi;Kok;warts+test26@recruitin.nl;612345026;Technical Lead;51.214;Eindhoven;Noord-Brabant;3511AA;https://www.randomit.nl/jobs/devops;2025-11-21;
